###;States;Params;Trial;Time;Distance;Iterations;ResFit;GoalFit;MissFitFlag;Alg
3052;10;7;2;199,999;1,028809579;13;3,184457313;1;1;2
1681;10;13;1680;84,447;0,068;153;0,967;0,99;0;0
518;6;6;517;5,309;0,034;35;0,588;0,594;0;0
836;7;12;835;199,772;0,026;616;0,971;0,693;1;0
5864;10;12;14;199,999;0,738214206;5;1,165426097;1;1;4
6677;8;12;8;93,35833979;0,868647418;4;0,568124696;0,8;0;4
4506;10;16;15;4,473256111;0,319653788;2;0,638330231;1;0;3
5412;8;3;3;0;0,738117091;1;0,540762054;0,8;0;3
2552;8;2;2;1,678095818;0,010830702;7;0,670156463;0,8;0;1
815;7;11;814;6,251;0,029;20;0,588;0,693;0;0
6829;8;9;19;32,8368783;1,123318765;4;0,264533477;0,8;0;4
1949;2;2;17;0,21501255;0,013197082;6;0,078848062;0,2;0;1
4635;10;6;5;9,155523777;0,100944511;4;0,3917615;1;0;3
3107;2;2;16;0;0,01341051;1;0,026389653;0,2;0;2
6135;3;4;6;2,722155571;0,015793278;2;0,098172346;0,3;0;4
2641;9;1;10;0;0,009115;1;0,072417335;0,9;0;1
2000;3;2;9;0,794045448;0,004545409;11;0,03586954;0,3;0;1
6413;6;8;4;7,664438248;0,938709393;2;0,302793757;0,6;0;4
1773;10;17;1772;143,564;0,111;203;0,982;0,99;0;0
2787;10;11;16;39,66926908;0,998121752;7;0,727596323;1;0;2
1806;10;1;14;0,238013744;0,003307;3;0,002862074;1;0;1
537;6;7;536;1,701;0,022;9;0,57;0,594;0;0
7091;9;9;2;48,40876913;0,798472912;5;0,76612057;0,9;0;4
2064;4;2;12;0,335019588;0,705360792;4;0,224515379;0,4;0;1
5996;10;18;7;199,999;1,145671544;6;1,080535837;1;1;4
3895;8;13;5;18,40305281;0,938968889;9;0,519849661;0,8;0;2
4923;5;8;12;3,843219757;0,140273544;2;0,174452772;0,5;0;3
2447;7;3;16;0,704040527;0,01210002;2;0,472128191;0,7;0;1
3857;8;11;7;59,4333992;1,422621111;8;0,2597151;0,8;0;2
342;5;6;341;199,955;0,056;1652;1,487;0,495;1;0
3696;7;3;6;4,638265133;0,01228574;3;0,034240296;0,7;0;2
3076;10;8;6;25,64646673;0,940301701;7;0,611016919;1;0;2
5614;9;13;5;192,7360239;1,324889515;7;0,829896889;0,9;0;3
6641;8;11;11;72,09912395;0,992398267;5;0,562284304;0,8;0;4
34;2;2;33;0,115;0,005;5;0,154;0,198;0;0
5834;10;10;5;15,30687523;0,647307926;2;0,326811707;1;0;4
3488;6;4;17;1,604091644;0,720878143;2;0,108919714;0,6;0;2
891;8;3;890;0,372;0,004;2;0,68;0,792;0;0
600;6;10;599;43,838;0,049;193;0,589;0,594;0;0
1658;10;11;1657;2,827;0,02;5;0,971;0,99;0;0
4337;9;7;7;199,999;0,761946616;341;8,589745499;0,9;1;2
2416;7;1;6;0,076004505;0,004861;2;0,574668155;0,7;0;1
5930;10;15;1;70,21501589;0,662568292;4;0,935255154;1;0;4
4570;10;3;19;0;0,076522559;1;0,067752472;1;0;3
4109;9;11;18;5,107292175;0,708201595;3;0,402024857;0,9;0;2
6183;4;6;13;16,95897007;0,644443706;2;0,078563886;0,4;0;4
2394;6;6;4;199,999;1,209518037;16;0,535698228;0,6;1;1
3711;7;4;1;5,111292362;0,014306909;5;0,374668802;0,7;0;2
6023;10;5;13;23,89936733;0,209140275;3;0,594612892;1;0;4
6434;6;9;5;31,91082525;0,103046919;3;0,38867218;0,6;0;4
